symbol,calendarYear,marketCap,marginProfit,roe,roic,revenuePerShare,netIncomePerShare,debtToEquity,peRatio,shareValue,marketCap_YoY_Growth,marginProfit_YoY_Growth,roe_YoY_Growth,roic_YoY_Growth,revenuePerShare_YoY_Growth,netIncomePerShare_YoY_Growth,debtToEquity_YoY_Growth,peRatio_YoY_Growth,shareValue_YoY_Growth,date,date_NY,benchmark,return,target
AAPL,2020,1948295921320.0,0.2091361127807223,0.8786635853012749,0.2426948685968288,15.820258033039078,3.308587268217789,1.871439722064923,33.93593425162425,112.28,,,,,,,,,,2020-09-26,2021-09-25,37.47606422153482,30.851442821517615,0
AAPL,2021,2453750882240.0,0.2588179335569424,1.5007132667617689,0.3892505618225257,21.90354123925411,5.669029281123018,2.163924552226977,25.916253509083223,146.92,25.943438847705774,23.75573501660666,70.79497681097216,60.38681166727062,38.452490430375306,71.34289718090798,15.628867267994618,-23.63182543635789,30.85144282151761,2021-09-25,2022-09-24,-26.20201966088983,2.389055268173168,1
AAPL,2022,2439367314090.0,0.2530964070519973,1.969588727502368,0.4517476149331245,24.31727304755197,6.154614437637777,2.614461635617304,24.441823533260525,150.43,-0.5861869782342932,-2.210637580755692,31.24350741246769,16.055738704134125,11.019824520302349,8.565578557367504,20.820369311243404,-5.689209573852693,2.389055268173168,2022-09-24,2023-09-30,30.03883706580524,13.813733962640429,0
AAPL,2023,2695569789510.0,0.2530623426432028,1.5607601454639075,0.4338918291689624,24.3444725880864,6.160669263554378,1.7875325845589418,27.790811789370583,171.21,10.502824807898016,-0.0134590645482823,-20.75705330406188,-3.9526021109830056,0.1118527578369388,0.0983786389537666,-31.629037496398947,13.70187560495535,13.813733962640429,2023-09-30,2024-09-28,35.86122198342032,33.04713509724899,0
AAPL,2024,3495160329570.0,0.2397125576994386,1.6459350307287095,0.4430708117427921,25.484914639368924,6.109054070954992,1.872326602282704,37.287278415656736,227.79,29.66313627536794,-5.27529493496639,5.457269364056283,2.1155002138229406,4.68460364937473,-0.8378179446303702,4.743634798953011,34.1712458716962,33.04713509724899,2024-09-28,2025-04-29,5.02927580893684,,0
ABNB,2020,41744488400.0,-1.3571479951299497,-1.5799651455673978,-0.6468366046481148,11.879882403828908,-16.12275858673597,0.8028884310094863,-9.105141605281547,146.8,,,,,,,,,,2020-12-31,2021-12-31,26.80882259195512,13.412806539509535,0
ABNB,2021,102557840000.0,-0.0587449933244325,-0.073717277486911,0.0679114948731786,9.727272727272728,-0.5714285714285714,0.5063874345549738,-291.3575,166.49,145.67995424277376,-95.67143793195469,-95.33424660070982,-110.4990185133575,-18.11978943379431,-96.4557642641956,-36.92928992409522,3099.92277584123,13.412806539509535,2021-12-31,2022-12-31,-33.07025260776676,-48.64556429815605,0
ABNB,2022,54463500000.0,0.2253839742826526,0.3404676258992806,0.2097121106658891,13.185243328100473,2.971742543171114,0.4210431654676259,28.770998415213946,85.5,-46.89484489922955,-483.6649925856975,-561.855941383257,208.802082854333,35.549230475799234,-620.0549450549449,-16.85355189793575,-109.87480961197632,-48.64556429815605,2022-12-31,2023-12-31,51.19047619047619,59.22807017543859,1
ABNB,2023,86721179999.99998,0.4832106483815671,0.5868952847519902,0.3217400134954438,15.56828885400314,7.52276295133438,0.2821800367421923,18.097074290484137,136.14,59.22807017543856,114.394412876745,72.37917502488457,53.41985375753347,18.07358018811762,153.14315900686745,-32.98073454563908,-37.099595817590725,59.22807017543859,2023-12-31,2024-12-31,26.98527037432625,-3.474364624651083,0
ABNB,2024,83051120000.0,0.2385155827778778,0.3147883975273419,0.1868634441309911,17.56645569620253,4.189873417721519,0.2727056585829767,31.36371601208459,131.41,-4.232022673123204,-50.63941914840954,-46.36378827606956,-41.92098082520989,12.834852056882262,-44.30406162169016,-3.357565003037988,73.30821274561691,-3.474364624651083,2024-12-31,2025-04-29,0.0,,0
